vencimento,descricao,categoria,forma_pagamento,valor
2028-01-28,"Empréstimo Loja","Empréstimo Loja","Boleto",-652.88
2027-11-23,"Compra Notebook Ester (21/21) — Nescon · reembolso pendente","7.1 - Despesa Nescon Parcelado","CC Mercado Pago",-121.06
2027-12-25,"Microsoft Drive Compartilhado — Nescon · reembolso pendente","3.4 - Tecnologias","CC Inter PJ · Venc. 25",-51.00
2027-01-10,"Mensalidade Escolar","5.2 - Mensalidade Escolar","Débito",-622.50
2026-12-14,"Compras de Casa - Alimentação","6.3 - Compras de Casa - Alimentação","Débito",-1300.00
2027-04-30,"Reserva Mensal","6.7 - Outras Despesas","PIX",-100.00
2027-01-26,"Cartão de Todos","6.7 - Outras Despesas","CC Nubank PF",-33.40
